draw_inflation,goal_profile_weight,decision_threshold,decision_max_win_prob_gap,matches,log_loss,brier_score,accuracy,top_probability_accuracy,top_probability_predicted_draws,predicted_draws,actual_draws,decision_accuracy,draw_recall,draw_precision,non_draw_accuracy
1.35,0.35,0.28,0.15,7952.0,0.9348315888851074,0.5383036661291735,0.6008551307847082,0.6008551307847082,174.0,796.0,1837.0,0.5915492957746479,0.1317365269461078,0.30402010050251255,0.7296811120196238
1.35,0.35,0.3,0.12,7952.0,0.9348315888851074,0.5383036661291735,0.6008551307847082,0.6008551307847082,174.0,626.0,1837.0,0.5933098591549296,0.10288513881328253,0.3019169329073482,0.7406377759607522
1.35,0.35,0.3,0.15,7952.0,0.9348315888851074,0.5383036661291735,0.6008551307847082,0.6008551307847082,174.0,759.0,1837.0,0.5923038229376257,0.12738160043549265,0.308300395256917,0.7319705641864268
1.65,0.5,0.28,0.12,7952.0,0.9374604156586737,0.535333054389574,0.5944416498993964,0.5944416498993964,636.0,744.0,1837.0,0.5924295774647887,0.12302667392487751,0.30376344086021506,0.7334423548650858
1.65,0.5,0.28,0.15,7952.0,0.9374604156586737,0.535333054389574,0.5944416498993964,0.5944416498993964,636.0,837.0,1837.0,0.59079476861167,0.1366358192705498,0.2998805256869773,0.7272281275551922
1.65,0.5,0.3,0.12,7952.0,0.9374604156586737,0.535333054389574,0.5944416498993964,0.5944416498993964,636.0,744.0,1837.0,0.5924295774647887,0.12302667392487751,0.30376344086021506,0.7334423548650858
1.65,0.5,0.3,0.15,7952.0,0.9374604156586737,0.535333054389574,0.5944416498993964,0.5944416498993964,636.0,837.0,1837.0,0.59079476861167,0.1366358192705498,0.2998805256869773,0.7272281275551922
1.5,0.5,0.28,0.12,7952.0,0.9383774522684568,0.5372449960577456,0.5979627766599598,0.5979627766599598,392.0,650.0,1837.0,0.5931841046277666,0.10669569951007077,0.30153846153846153,0.739329517579722
1.5,0.5,0.28,0.15,7952.0,0.9383774522684568,0.5372449960577456,0.5979627766599598,0.5979627766599598,392.0,790.0,1837.0,0.590669014084507,0.12738160043549265,0.29620253164556964,0.7298446443172527
1.5,0.5,0.3,0.12,7952.0,0.9383774522684568,0.5372449960577456,0.5979627766599598,0.5979627766599598,392.0,637.0,1837.0,0.5934356136820925,0.1050626020685901,0.3029827315541601,0.7401471790678659
