feature_profile,max_iter,learning_rate,max_leaf_nodes,l2_regularization,class_weight,draw_probability_multiplier,calibration_temperature,validation_accuracy,pooled_validation_accuracy,validation_log_loss,selected
context_no_market,120,0.03,7,1.0,none,1.1,1.3,0.5783387482900137,0.6185006045949214,0.9326118251108064,False
context_no_market,120,0.03,7,1.0,none,1.1,1.5,0.5783387482900137,0.6185006045949214,0.9411781213800994,False
context_no_market,120,0.03,7,1.0,none,1.15,0.85,0.5819030010259918,0.6178960096735188,0.9300676663153717,False
context_no_market,120,0.03,7,1.0,none,1.15,1.0,0.5819030010259918,0.6178960096735188,0.9266710196394511,False
context_no_market,120,0.03,7,1.0,none,1.15,1.15,0.5819030010259918,0.6178960096735188,0.9291362444766903,False
context_no_market,120,0.03,7,1.0,none,1.15,1.3,0.5819030010259918,0.6178960096735188,0.9343249511156808,False
context_no_market,120,0.03,7,1.0,none,1.15,1.5,0.5819030010259918,0.6178960096735188,0.942915377420745,False
context_no_market,120,0.03,7,1.0,none,1.2,0.85,0.5767997606019152,0.6130592503022975,0.931449471845136,False
context_no_market,120,0.03,7,1.0,none,1.2,1.0,0.5767997606019152,0.6130592503022975,0.9283596113151429,False
context_no_market,120,0.03,7,1.0,none,1.2,1.15,0.5767997606019152,0.6130592503022975,0.9309530669612024,False
context_no_market,120,0.03,7,1.0,none,1.2,1.3,0.5767997606019152,0.6130592503022975,0.936177045301182,False
context_no_market,120,0.03,7,1.0,none,1.2,1.5,0.5767997606019152,0.6130592503022975,0.9447418626421196,False
context_no_market,120,0.04,15,3.0,none,0.85,0.85,0.5762867647058824,0.6112454655380894,0.962329170811089,False
context_no_market,120,0.04,15,3.0,none,0.85,1.0,0.5762867647058824,0.6112454655380894,0.9416772886387199,False
context_no_market,120,0.04,15,3.0,none,0.85,1.15,0.5762867647058824,0.6112454655380894,0.9329695104728093,False
