xg_strength,total_goal_strength,dixon_coles_rho,statsbomb_window,goal_profile_weight,matches,log_loss,brier_score,accuracy,top_probability_accuracy,top_probability_predicted_draws,predicted_draws,actual_draws,decision_accuracy,draw_recall,draw_precision,non_draw_accuracy,selected
0.25,0.0,-0.12,5,0.2,64.0,1.0441751670708082,0.611038796890254,0.5625,0.5625,0.0,5.0,13.0,0.515625,0.0,0.0,0.6470588235294118,False
0.25,0.0,-0.12,3,0.2,64.0,1.0442487479089597,0.6111894666713422,0.5625,0.5625,0.0,5.0,13.0,0.515625,0.0,0.0,0.6470588235294118,False
0.5,0.5,-0.04,3,0.2,64.0,1.0446214326044745,0.6146258834635615,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.5,0.25,-0.04,3,0.2,64.0,1.044789069204744,0.6143123423863528,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.5,0.0,0.0,5,0.35,64.0,1.0448807581895185,0.6140673104596309,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.5,0.25,0.0,3,0.35,64.0,1.0449000969715732,0.614595358821897,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.5,0.5,0.0,3,0.35,64.0,1.0449159215056092,0.6150034161967864,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.5,0.0,-0.04,5,0.2,64.0,1.0449330866720306,0.6138374579454627,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.5,0.0,0.0,3,0.35,64.0,1.0451199140100402,0.6142960487973941,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.5,0.0,-0.04,3,0.2,64.0,1.045174311820786,0.6141128668987568,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.25,0.25,-0.12,5,0.35,64.0,1.0454361537432975,0.6111712233037115,0.5625,0.5625,0.0,2.0,13.0,0.578125,0.07692307692307693,0.5,0.7058823529411765,False
0.5,0.5,-0.04,5,0.35,64.0,1.045903399394984,0.6140300341260063,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.25,0.5,-0.12,3,0.35,64.0,1.0460799736927986,0.612186785267496,0.5625,0.5625,0.0,2.0,13.0,0.578125,0.07692307692307693,0.5,0.7058823529411765,False
0.5,0.5,-0.08,5,0.2,64.0,1.0461626007697589,0.6137540319799072,0.5625,0.5625,0.0,1.0,13.0,0.546875,0.0,0.0,0.6862745098039216,False
0.25,0.25,-0.12,3,0.35,64.0,1.0464554486758342,0.6119782003072542,0.5625,0.5625,0.0,2.0,13.0,0.578125,0.07692307692307693,0.5,0.7058823529411765,False
0.25,0.0,-0.12,5,0.35,64.0,1.0469360304203135,0.6117352995068442,0.5625,0.5625,0.0,3.0,13.0,0.578125,0.07692307692307693,0.3333333333333333,0.7058823529411765,False
0.5,0.25,-0.04,5,0.35,64.0,1.046988918100767,0.6142900734524633,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.25,0.0,-0.12,3,0.35,64.0,1.0470060655528886,0.6118771372331276,0.5625,0.5625,0.0,3.0,13.0,0.578125,0.07692307692307693,0.3333333333333333,0.7058823529411765,False
0.5,0.25,-0.08,5,0.2,64.0,1.0474175075988577,0.6141320500838159,0.5625,0.5625,0.0,1.0,13.0,0.546875,0.0,0.0,0.6862745098039216,False
0.5,0.5,-0.04,3,0.35,64.0,1.0480954523861152,0.6155183508203279,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.5,0.25,-0.04,3,0.35,64.0,1.048185101111391,0.6151677388119856,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.5,0.0,-0.04,5,0.35,64.0,1.0482620314275695,0.6146683249968528,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.5,0.5,-0.08,3,0.2,64.0,1.048334819219444,0.6153294155750954,0.5625,0.5625,0.0,1.0,13.0,0.546875,0.0,0.0,0.6862745098039216,False
0.5,0.0,-0.04,3,0.35,64.0,1.0484935881498034,0.614924806774059,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
0.5,0.25,-0.08,3,0.2,64.0,1.0486061778669666,0.6150756906523378,0.5625,0.5625,0.0,1.0,13.0,0.546875,0.0,0.0,0.6862745098039216,False
0.5,0.0,-0.08,5,0.2,64.0,1.048844673142029,0.6146298207500996,0.5625,0.5625,0.0,2.0,13.0,0.578125,0.07692307692307693,0.5,0.7058823529411765,False
0.5,0.0,-0.08,3,0.2,64.0,1.0490770707657036,0.614933791279187,0.5625,0.5625,0.0,2.0,13.0,0.578125,0.07692307692307693,0.5,0.7058823529411765,False
0.5,0.5,-0.08,5,0.35,64.0,1.0496317575415581,0.6146484660979759,0.5625,0.5625,0.0,0.0,13.0,0.5625,0.0,0.0,0.7058823529411765,False
